Category,Name,MRP,Discount_Percentage,Available_Quantity,Discounted_Selling_Price,weight_In_Gms,Out_Of_Stock,Quantity,Discount_Amount,Discount %,Total Revenue,Price_Per_Gms,MRP Category
Ice Cream & Desserts,Veeba Favourites Eggless Burger Mayonnaise,6900.0,8.0,0,6300.0,250.0,TRUE,250,600.0,1.0,62500.0,25.20,High
Ice Cream & Desserts,Sunfeast Yippee! Magic Masala Noodles,4800.0,6.0,0,4500.0,240.0,TRUE,240,300.0,1.0,57600.0,18.75,High
Ice Cream & Desserts,Top Ramen Masala,9100.0,9.0,0,8200.0,560.0,TRUE,560,900.0,0.9,313600.0,14.64,High
Ice Cream & Desserts,Kelloggs Corn Flakes With Real Strawberry Pure,26500.0,10.0,0,23600.0,575.0,TRUE,575,2900.0,1.0,330625.0,41.04,High
Ice Cream & Desserts,Mother's Recipe Potato Papad,3100.0,9.0,0,2800.0,70.0,TRUE,75,300.0,1.0,5250.0,40.00,Medium
Ice Cream & Desserts,Mothers Recipe Rice Papad Ajwain,2400.0,0.0,0,2400.0,75.0,TRUE,75,0.0,1.0,5625.0,32.00,Medium
Ice Cream & Desserts,Chef's Basket Durum Wheat Penne Pasta,16000.0,50.0,0,8000.0,500.0,TRUE,500,8000.0,1.0,250000.0,16.00,High
Ice Cream & Desserts,Dabur Hommade - Imli Sauce Saunth,2000.0,10.0,0,1800.0,100.0,TRUE,100,200.0,1.0,10000.0,18.00,Medium
Ice Cream & Desserts,Zorabian Chicken Kheema Parathas,19000.0,0.0,0,19000.0,300.0,TRUE,300,0.0,1.0,90000.0,63.33,High
Ice Cream & Desserts,Sunfeast Pasta Treat Pack of Tomato Cheese,2800.0,17.0,0,2300.0,65.0,TRUE,65,500.0,1.0,4225.0,35.38,Medium
Ice Cream & Desserts,Safal Frozen - Sweet Corn,16000.0,5.0,0,15200.0,1000.0,TRUE,1,800.0,0.9,1000.0,15.20,High
Ice Cream & Desserts,MTR Vegetable Upma,2500.0,0.0,0,2500.0,60.0,TRUE,60,0.0,1.0,3600.0,41.67,Medium
